"MARPP Regional Price Parities by MSA"
"RPPs: All items (Index)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"36740","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",99.0
"36780","Oshkosh-Neenah, WI (Metropolitan Statistical Area)",89.1
"36980","Owensboro, KY (Metropolitan Statistical Area)",87.6
"37100","Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",117.0
"37340","Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",96.7
"37460","Panama City, FL (Metropolitan Statistical Area)",95.6
"37620","Parkersburg-Vienna, WV (Metropolitan Statistical Area)",87.5
"37860","Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",92.5
"37900","Peoria, IL (Metropolitan Statistical Area)",87.3
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",105.3
"38060","Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",98.7
"38220","Pine Bluff, AR (Metropolitan Statistical Area)",80.8
"38300","Pittsburgh, PA (Metropolitan Statistical Area)",92.4
"38340","Pittsfield, MA (Metropolitan Statistical Area)",98.4
"38540","Pocatello, ID (Metropolitan Statistical Area)",88.2
"38860","Portland-South Portland, ME (Metropolitan Statistical Area)",103.7
"38900","Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",105.0
"38940","Port St. Lucie, FL (Metropolitan Statistical Area)",97.1
"39100","Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area) 2/",118.6
"39150","Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",94.8
"39300","Providence-Warwick, RI-MA (Metropolitan Statistical Area)",100.3
"39340","Provo-Orem, UT (Metropolitan Statistical Area)",96.3
"39380","Pueblo, CO (Metropolitan Statistical Area)",89.5
"39460","Punta Gorda, FL (Metropolitan Statistical Area)",96.1
"39540","Racine, WI (Metropolitan Statistical Area)",92.0
"39580","Raleigh-Cary, NC (Metropolitan Statistical Area)",96.1
"39660","Rapid City, SD (Metropolitan Statistical Area)",89.2
"39740","Reading, PA (Metropolitan Statistical Area)",95.6
"39820","Redding, CA (Metropolitan Statistical Area)",98.0
"39900","Reno, NV (Metropolitan Statistical Area)",98.4
"40060","Richmond, VA (Metropolitan Statistical Area)",95.8
"40140","Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",107.3
"40220","Roanoke, VA (Metropolitan Statistical Area)",91.2
"40340","Rochester, MN (Metropolitan Statistical Area)",92.9
"40380","Rochester, NY (Metropolitan Statistical Area)",97.1
"40420","Rockford, IL (Metropolitan Statistical Area)",86.9
"40580","Rocky Mount, NC (Metropolitan Statistical Area)",84.6
"40660","Rome, GA (Metropolitan Statistical Area)",83.9
"40900","Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",105.2
"40980","Saginaw, MI (Metropolitan Statistical Area)",85.7
"41060","St. Cloud, MN (Metropolitan Statistical Area)",90.2
"41100","St. George, UT (Metropolitan Statistical Area)",94.3
"41140","St. Joseph, MO-KS (Metropolitan Statistical Area)",85.2
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)",90.1
"41420","Salem, OR (Metropolitan Statistical Area)",99.0
"41500","Salinas, CA (Metropolitan Statistical Area)",111.4
"41540","Salisbury, MD-DE (Metropolitan Statistical Area)",90.0
"41620","Salt Lake City, UT (Metropolitan Statistical Area)",98.6
"41660","San Angelo, TX (Metropolitan Statistical Area)",91.3
"41700","San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",93.3
"41740","San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",117.9
"41860","San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",134.5
"41940","San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",126.7
"42020","San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",110.2
"42100","Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",122.7
"42140","Santa Fe, NM (Metropolitan Statistical Area)",97.0
"42200","Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",112.1
"42220","Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",120.6
"42340","Savannah, GA (Metropolitan Statistical Area)",94.5
"42540","Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",91.5
"42660","Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",114.5
"42680","Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",92.8
"42700","Sebring-Avon Park, FL (Metropolitan Statistical Area)",87.0
"43100","Sheboygan, WI (Metropolitan Statistical Area)",88.6
"43300","Sherman-Denison, TX (Metropolitan Statistical Area)",91.0
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)",87.2
"43420","Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",88.3
"43580","Sioux City, IA-NE-SD (Metropolitan Statistical Area)",88.3
"43620","Sioux Falls, SD (Metropolitan Statistical Area)",91.2
"43780","South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",88.3
"43900","Spartanburg, SC (Metropolitan Statistical Area)",89.5
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",96.5
"44100","Springfield, IL (Metropolitan Statistical Area)",89.0
"44140","Springfield, MA (Metropolitan Statistical Area)",97.3
